zip_code,location,city
34203,"4651 Cortez Rd W, Bradenton, FL 34210",Bradenton
34203,"3913 Manatee Ave W, Bradenton, FL 34205",Bradenton
34201,"4240 53rd Ave E, Bradenton, FL 34203",Bradenton
34201,"6030 14th St W, Bradenton, FL 34207",Bradenton
33865,"14605 SR 70, Bradenton, FL 34202",Bradenton
33865,"11205 E State Road 70, Bradenton, FL 34202",Bradenton
33865,"8330 Market St, Bradenton, FL 34202",Bradenton
33865,"7290 55th Ave E, Bradenton, FL 34203",Bradenton
33715,"7310 Manatee Ave W, Bradenton, FL 34209",Bradenton
33598,"16642 Sr 64 E, Bradenton, FL 34212",Bradenton
33586,"1755 Lakewood Ranch Blvd, Bradenton, FL 34211",Bradenton
33586,"13150 E SR 64, Bradenton, FL 34212",Bradenton
33570,"5001 E State Road 64, Bradenton, FL 34208",Bradenton
