zip_code,location,city
33060,"3400 N Federal Hwy, Fort Lauderdale, FL 33306",Fort Lauderdale
33060,"2985 N Ocean Blvd, Fort Lauderdale, FL 33308",Fort Lauderdale
33027,"19441 Sheridan St, Fort Lauderdale, FL 33332",Fort Lauderdale
33004,"1940 Cordova Rd, Fort Lauderdale, FL 33316",Fort Lauderdale
33004,"601 S Andrews Ave, Fort Lauderdale, FL 33301",Fort Lauderdale
33004,"255 SE 3rd Ave, Fort Lauderdale, FL 33301",Fort Lauderdale
33004,"3500 W Davie Blvd, Fort Lauderdale, FL 33312",Fort Lauderdale
33004,"1415 E Sunrise Blvd, Fort Lauderdale, FL 33304",Fort Lauderdale
33004,"2501 E Sunrise Blvd, Fort Lauderdale, FL 33304",Fort Lauderdale
33004,"1750 N Federal Hwy, Fort Lauderdale, FL 33305",Fort Lauderdale
