zip_code,location,city
33906,"19100 S Tamiami Trl, Fort Myers, FL 33908",Fort Myers
33904,"16950 San Carlos Blvd, Fort Myers, FL 33908",Fort Myers
33904,"20321 Summerlin Rd, Fort Myers, FL 33908",Fort Myers
33904,"16980 Alico Mission Way Ste 403, Fort Myers, FL 33908",Fort Myers
33901,"4600 Summerlin Rd, Fort Myers, FL 33919",Fort Myers
33901,"5997 S Pointe Blvd Ste 106, Fort Myers, FL 33919",Fort Myers
33901,"13401 Summerlin Rd, Fort Myers, FL 33919",Fort Myers
33901,"15880 Summerlin Rd, Fort Myers, FL 33908",Fort Myers
33901,"11600 Gladiolus Dr, Fort Myers, FL 33908",Fort Myers
33471,"2160 McGregor Blvd, Fort Myers, FL 33901",Fort Myers
33471,"6900 Daniels Pkwy Ste 19, Fort Myers, FL 33912",Fort Myers
33440,"14561 Palm Beach Blvd Ste 150, Fort Myers, FL 33905",Fort Myers
33440,"13121 Paul J Doherty Pkwy, Fort Myers, FL 33913",Fort Myers
33440,"11851 Palm Beach Blvd, Fort Myers, FL 33905",Fort Myers
33440,"13650 Fiddlesticks Blvd, Fort Myers, FL 33912",Fort Myers
33440,"7950 Dani Dr Ste 200, Fort Myers, FL 33966",Fort Myers
