zip_code,location,city
32008,"9200 NW 39th Ave, Gainesville, FL 32606",Gainesville
32008,"1200 NW 76th Blvd, Gainesville, FL 32606",Gainesville
32008,"5200 NW 43rd St Ste 401, Gainesville, FL 32606",Gainesville
32008,"2755 SW 91st St, Gainesville, FL 32608",Gainesville
32008,"4115 NW 16th Blvd, Gainesville, FL 32605",Gainesville
32008,"5801 SW 75th St, Gainesville, FL 32608",Gainesville
32008,"3315 W University Ave, Gainesville, FL 32607",Gainesville
32008,"3930 SW Archer Rd, Gainesville, FL 32608",Gainesville
32008,"3720 NW 13th St Ste 9, Gainesville, FL 32609",Gainesville
32008,"3100 SW 35th Blvd, Gainesville, FL 32608",Gainesville
32008,"5200 SW 34th St, Gainesville, FL 32608",Gainesville
32008,"203 NW 13th St, Gainesville, FL 32601",Gainesville
32008,"1302 N Main St, Gainesville, FL 32601",Gainesville
