zip_code,location,city
32201,"4413 Town Center Pkwy Ste 100, Jacksonville, FL 32246",Jacksonville
32099,"4320 Deerwood Lake Pkwy, Jacksonville, FL 32216",Jacksonville
32034,"13170 Atlantic Blvd Ste 29, Jacksonville, FL 32225",Jacksonville
32034,"12620 Beach Blvd Ste 12, Jacksonville, FL 32246",Jacksonville
32011,"2771 Monument Rd Ste 19, Jacksonville, FL 32225",Jacksonville
32009,"11341 Normandy Blvd Ste 201, Jacksonville, FL 32221",Jacksonville
32009,"7749 Normandy Blvd, Jacksonville, FL 32221",Jacksonville
32009,"4495 Roosevelt Blvd Ste 103, Jacksonville, FL 32210",Jacksonville
32009,"1100 Dunn Ave Bldg 100, Jacksonville, FL 32218",Jacksonville
32009,"2033 Riverside Ave, Jacksonville, FL 32204",Jacksonville
32009,"2039 Hendricks Ave Ste 325, Jacksonville, FL 32207",Jacksonville
32009,"731 Duval Station Rd Ste 4, Jacksonville, FL 32218",Jacksonville
32009,"5858 Atlantic Blvd, Jacksonville, FL 32207",Jacksonville
32009,"12541 Yellow Bluff Rd, Jacksonville, FL 32226",Jacksonville
32009,"7117 Merrill Rd, Jacksonville, FL 32277",Jacksonville
32009,"9100 Merrill Rd, Jacksonville, FL 32225",Jacksonville
32004,"11025 eTown Pkwy Unit 100, Jacksonville, FL 32256",Jacksonville
32004,"10920 Baymeadows Rd, Jacksonville, FL 32256",Jacksonville
32004,"4765 Hodges Blvd, Jacksonville, FL 32224",Jacksonville
32004,"14444 Beach Blvd Ste 6, Jacksonville, FL 32250",Jacksonville
32003,"11406 San Jose Blvd, Jacksonville, FL 32223",Jacksonville
32003,"6001 Argyle Forest Blvd Ste 45, Jacksonville, FL 32244",Jacksonville
32003,"10500 San Jose Blvd Ste 36, Jacksonville, FL 32257",Jacksonville
32003,"11250 St Augustine Rd Ste 4, Jacksonville, FL 32257",Jacksonville
32003,"9518 Argyle Forest Blvd, Jacksonville, FL 32222",Jacksonville
32003,"13820 Old Saint Augustine Rd, Jacksonville, FL 32258",Jacksonville
32003,"7628 103rd St Ste 24, Jacksonville, FL 32210",Jacksonville
32003,"2875 University Blvd W, Jacksonville, FL 32217",Jacksonville
32003,"9964 Old Baymeadows Rd, Jacksonville, FL 32256",Jacksonville
