zip_code,location,city
33567,"2125 E County Road 540a, Lakeland, FL 33813",Lakeland
33563,"4747 S Florida Ave Ste 110, Lakeland, FL 33813",Lakeland
33563,"4730 S Florida Ave, Lakeland, FL 33813",Lakeland
33563,"1617 US Hwy 98 S, Lakeland, FL 33801",Lakeland
33530,"3636 Harden Blvd, Lakeland, FL 33803",Lakeland
33524,"7340 Kathleen Rd, Lakeland, FL 33810",Lakeland
33524,"6767 US Highway 98 N, Lakeland, FL 33809",Lakeland
33524,"2300 Griffin Rd, Lakeland, FL 33810",Lakeland
33524,"5375 N Socrum Loop Rd, Lakeland, FL 33809",Lakeland
33524,"5140 County Line Rd, Lakeland, FL 33811",Lakeland
33524,"2515 S Florida Ave, Lakeland, FL 33803",Lakeland
32010,"5185 US Highway 98 S, Lakeland, FL 33812",Lakeland
