zip_code,location,city
33116,"9041 SW 107th Ave, Miami, FL 33176",Miami
33116,"8250 Mills Dr, Miami, FL 33183",Miami
33114,"9105 S Dadeland Blvd, Miami, FL 33156",Miami
33112,"13850 SW 8th St, Miami, FL 33184",Miami
33112,"11495 Bird Rd, Miami, FL 33165",Miami
33112,"14630 SW 26th St, Miami, FL 33175",Miami
33112,"9420 SW 56th St, Miami, FL 33165",Miami
33112,"13890 SW 56th St, Miami, FL 33175",Miami
33102,"8680 SW 24th St, Miami, FL 33155",Miami
33102,"7805 SW 40th St, Miami, FL 33155",Miami
33102,"1525 SW 107th Ave, Miami, FL 33174",Miami
33101,"601 NW 2nd Ave, Miami, FL 33136",Miami
33101,"311 SW 7th St, Miami, FL 33130",Miami
33101,"911 SW 1st Ave, Miami, FL 33130",Miami
33101,"1776 Biscayne Blvd, Miami, FL 33132",Miami
33101,"134 SW 13th St, Miami, FL 33130",Miami
33101,"2270 SW 27th Ave, Miami, FL 33145",Miami
33034,"15750 SW 72nd St, Miami, FL 33193",Miami
33034,"15755 SW 56th St, Miami, FL 33185",Miami
33034,"4260 SW 152nd Ave, Miami, FL 33185",Miami
33032,"13005 SW 89th Pl, Miami, FL 33176",Miami
33031,"11750 SW 104th St, Miami, FL 33176",Miami
33030,"18280 SW 147th Ave, Miami, FL 33187",Miami
33030,"20201 SW 127th Ave, Miami, FL 33177",Miami
33030,"20711 S Dixie Hwy, Miami, FL 33189",Miami
33030,"15771 SW 152nd St, Miami, FL 33187",Miami
33030,"13735 SW 152nd St, Miami, FL 33177",Miami
33030,"12100 SW 127th Ave, Miami, FL 33186",Miami
33030,"10201 Hammocks Blvd Ste 111, Miami, FL 33196",Miami
33030,"9510 SW 160th St, Miami, FL 33157",Miami
33030,"16800 SW 88th St, Miami, FL 33196",Miami
33030,"13001 SW 112th St, Miami, FL 33186",Miami
33030,"13820 SW 88th St, Miami, FL 33186",Miami
33012,"9951 W Flagler St, Miami, FL 33174",Miami
33010,"5715 NW 7th St, Miami, FL 33126",Miami
33010,"1420 NW North River Dr Ste 110, Miami, FL 33125",Miami
33010,"121 SW 22nd Ave, Miami, FL 33135",Miami
33010,"8341 W Flagler St, Miami, FL 33144",Miami
33010,"4870 Biscayne Blvd, Miami, FL 33137",Miami
