zip_code,location,city
32111,"7578 SE Maricamp Rd Ste 100, Ocala, FL 34472",Ocala
32111,"3035 SE Maricamp Rd, Ocala, FL 34471",Ocala
32111,"3450 E Silver Springs Blvd, Ocala, FL 34470",Ocala
32111,"303 SE 17th St Unit 201, Ocala, FL 34471",Ocala
32111,"2575 SW 42nd St Ste 100, Ocala, FL 34471",Ocala
32111,"2655 NE 35th St, Ocala, FL 34479",Ocala
32111,"5400 SW College Rd Ste 200, Ocala, FL 34474",Ocala
32111,"9570 SW 62nd Avenue Rd, Ocala, FL 34476",Ocala
32111,"2765 NW 49th Ave Ste 301, Ocala, FL 34482",Ocala
32111,"8075 SW Highway 200 Unit 111, Ocala, FL 34481",Ocala
