zip_code,location,city
32824,"14185 Lake Nona Blvd, Orlando, FL 32824",Orlando
32824,"13900 Narcoossee Rd, Orlando, FL 32832",Orlando
32819,"11055 Daryl Carter Pkwy, Orlando, FL 32836",Orlando
32819,"8145 Vineland Ave, Orlando, FL 32821",Orlando
32809,"9930 Universal Blvd, Orlando, FL 32819",Orlando
32809,"12195 S Orange Blossom Trl, Orlando, FL 32837",Orlando
32809,"5350 Central Florida Pkwy, Orlando, FL 32821",Orlando
32809,"7640 W Sand Lake Rd, Orlando, FL 32819",Orlando
32809,"13850 Landstar Blvd, Orlando, FL 32824",Orlando
32809,"3972 Town Ctr Blvd, Orlando, FL 32837",Orlando
32805,"4870 S Apopka Vineland Rd, Orlando, FL 32819",Orlando
32805,"7524 Dr Phillips Blvd, Orlando, FL 32819",Orlando
32801,"3171 S Orange Ave, Orlando, FL 32806",Orlando
32801,"5265 S John Young Pkwy, Orlando, FL 32839",Orlando
32801,"4042 S Semoran Blvd, Orlando, FL 32822",Orlando
32801,"4501 Hoffner Ave, Orlando, FL 32812",Orlando
32789,"4402 Curry Ford Rd, Orlando, FL 32812",Orlando
32789,"2873 S Orange Ave, Orlando, FL 32806",Orlando
32751,"400 E Central Blvd, Orlando, FL 32801",Orlando
32733,"409 S Chickasaw Trl, Orlando, FL 32825",Orlando
32730,"1501 Meeting Pl, Orlando, FL 32814",Orlando
32714,"1500 E Colonial Dr, Orlando, FL 32803",Orlando
32710,"4606 S Kirkman Rd, Orlando, FL 32811",Orlando
32709,"16825 E Colonial Dr, Orlando, FL 32820",Orlando
32709,"3400 Avalon Park East Blvd, Orlando, FL 32828",Orlando
32709,"1921 S Alafaya Trl, Orlando, FL 32828",Orlando
32709,"12231 E Colonial Dr, Orlando, FL 32826",Orlando
32709,"10250 Curry Ford Rd, Orlando, FL 32825",Orlando
32709,"11286 Dowden Rd, Orlando, FL 32832",Orlando
32709,"10615 Narcoossee Rd, Orlando, FL 32832",Orlando
32709,"6485 S Chickasaw Trl, Orlando, FL 32829",Orlando
32707,"10115 University Blvd, Orlando, FL 32817",Orlando
32703,"2435 S Hiawassee Rd, Orlando, FL 32835",Orlando
32701,"2015 Edgewater Dr, Orlando, FL 32804",Orlando
32701,"2335 N Orange Blossom Trl, Orlando, FL 32804",Orlando
