zip_code,location,city
33438,"788 SE Becker Rd, Port Saint Lucie, FL 34984",Port Saint Lucie
32968,"12407 SW Community Blvd, Port Saint Lucie, FL 34987",Port Saint Lucie
32962,"3253 SW Port St Lucie Blvd, Port Saint Lucie, FL 34953",Port Saint Lucie
32960,"5473 NW Saint James Dr, Port Saint Lucie, FL 34983",Port Saint Lucie
32960,"7576 S US Highway 1, Port Saint Lucie, FL 34952",Port Saint Lucie
32960,"1537 NW St Lucie West Blvd, Port Saint Lucie, FL 34986",Port Saint Lucie
32960,"9335 SW Commerce Centre Dr, Port Saint Lucie, FL 34986",Port Saint Lucie
32960,"9100 S US Highway 1, Port Saint Lucie, FL 34952",Port Saint Lucie
32960,"10400 SW Village Center Dr, Port Saint Lucie, FL 34987",Port Saint Lucie
32960,"1125 SE Port St Lucie Blvd, Port Saint Lucie, FL 34952",Port Saint Lucie
