zip_code,location,city
32007,"2875 SR 16, Saint Augustine, FL 32092",Saint Augustine
32007,"250 Plaza Blvd, Saint Augustine, FL 32086",Saint Augustine
32007,"4255 US 1 S, Saint Augustine, FL 32086",Saint Augustine
32007,"955 State Road 16, Saint Augustine, FL 32084",Saint Augustine
32007,"125 Jenkins St, Saint Augustine, FL 32086",Saint Augustine
32007,"1033 A1A Beach Blvd, Saint Augustine, FL 32080",Saint Augustine
32007,"55 Ava Way, Saint Augustine, FL 32084",Saint Augustine
32004,"7462 US Hwy 1 N, Saint Augustine, FL 32095",Saint Augustine
32004,"170 Village Commons Dr, Saint Augustine, FL 32092",Saint Augustine
32004,"84 Tuscan Way, Saint Augustine, FL 32092",Saint Augustine
