zip_code,location,city
33701,"1700 34th St N, Saint Petersburg, FL 33713",Saint Petersburg
33701,"3501 49th St N, Saint Petersburg, FL 33710",Saint Petersburg
33701,"1600 66th St N, Saint Petersburg, FL 33710",Saint Petersburg
33701,"6605 38th Ave N, Saint Petersburg, FL 33710",Saint Petersburg
33701,"5577 Park St N, Saint Petersburg, FL 33709",Saint Petersburg
33608,"7999 Dr Martin Luther King Jr St N, Saint Petersburg, FL 33702",Saint Petersburg
33608,"10496 Roosevelt Blvd N, Saint Petersburg, FL 33716",Saint Petersburg
33608,"120 Carillon Pkwy, Saint Petersburg, FL 33716",Saint Petersburg
33570,"250 3rd St S, Saint Petersburg, FL 33701",Saint Petersburg
33570,"725 1st Ave S, Saint Petersburg, FL 33701",Saint Petersburg
33570,"3030 54th Ave S, Saint Petersburg, FL 33712",Saint Petersburg
33570,"200 37th Ave N, Saint Petersburg, FL 33704",Saint Petersburg
33570,"3700 4th St N, Saint Petersburg, FL 33704",Saint Petersburg
33570,"5295 34th St S, Saint Petersburg, FL 33711",Saint Petersburg
