zip_code,location,city
34229,"8409 S Tamiami Trl, Sarasota, FL 34238",Sarasota
34229,"3428 Clark Rd, Sarasota, FL 34231",Sarasota
34228,"6543 S Tamiami Trl, Sarasota, FL 34231",Sarasota
34223,"8405 Honore Ave Unit 1, Sarasota, FL 34238",Sarasota
34210,"4840 S Tamiami Trl, Sarasota, FL 34231",Sarasota
34202,"5100 Clark Rd, Sarasota, FL 34233",Sarasota
34201,"2875 University Pkwy, Sarasota, FL 34243",Sarasota
34201,"501 N Beneva Rd Ste 161, Sarasota, FL 34232",Sarasota
34201,"1044 N Tamiami Trl, Sarasota, FL 34236",Sarasota
34201,"2031 Bay St, Sarasota, FL 34237",Sarasota
34201,"5804 Bee Ridge Rd, Sarasota, FL 34233",Sarasota
34201,"3690 Bee Ridge Rd, Sarasota, FL 34233",Sarasota
34201,"3825 S Osprey Ave, Sarasota, FL 34239",Sarasota
33865,"8300 Bee Ridge Rd, Sarasota, FL 34241",Sarasota
33865,"1940 Lakewood Ranch Blvd, Sarasota, FL 34240",Sarasota
33865,"5391 Fruitville Rd, Sarasota, FL 34232",Sarasota
