zip_code,location,city
32301,"101 N Blairstone Rd Ste 301, Tallahassee, FL 32301",Tallahassee
32301,"3551 Blairstone Rd, Tallahassee, FL 32301",Tallahassee
32301,"625 W Gaines St, Tallahassee, FL 32304",Tallahassee
32301,"1700 N Monroe St, Tallahassee, FL 32303",Tallahassee
32301,"3122 Mahan Dr, Tallahassee, FL 32308",Tallahassee
32301,"800 Ocala Rd, Tallahassee, FL 32304",Tallahassee
32301,"2111 NE Capital Circle, Tallahassee, FL 32308",Tallahassee
32301,"5032 Capital Cir SW Ste 1, Tallahassee, FL 32305",Tallahassee
32301,"3521 Thomasville Rd, Tallahassee, FL 32309",Tallahassee
32301,"6615 Mahan Dr, Tallahassee, FL 32308",Tallahassee
32301,"5678 Capital Cir NW, Tallahassee, FL 32303",Tallahassee
32301,"6753 Thomasville Rd, Tallahassee, FL 32312",Tallahassee
32301,"8462 Bannerman Blvd, Tallahassee, FL 32312",Tallahassee
