zip_code,location,city
33615,"8975 Race Track Rd, Tampa, FL 33635",Tampa
33601,"1700 N Blvd, Tampa, FL 33607",Tampa
33601,"2401 W Azeele St, Tampa, FL 33609",Tampa
33601,"2724 W Hillsborough Ave, Tampa, FL 33614",Tampa
33601,"1313 S Dale Mabry Hwy, Tampa, FL 33629",Tampa
33601,"4900 W Kennedy Blvd, Tampa, FL 33609",Tampa
33601,"7018 W Waters Ave, Tampa, FL 33634",Tampa
33601,"8701 W Hillsborough Ave, Tampa, FL 33615",Tampa
33556,"12139 W Linebaugh Ave, Tampa, FL 33626",Tampa
33548,"15151 N Dale Mabry Hwy, Tampa, FL 33618",Tampa
33548,"5371 Ehrlich Rd, Tampa, FL 33625",Tampa
33548,"13178 N Dale Mabry Hwy, Tampa, FL 33618",Tampa
33548,"12024 Anderson Rd, Tampa, FL 33625",Tampa
33548,"7835 Gunn Hwy, Tampa, FL 33626",Tampa
33548,"10015 N Dale Mabry Hwy, Tampa, FL 33618",Tampa
33534,"3617 W Gandy Blvd, Tampa, FL 33611",Tampa
33534,"3838 Britton Plaza, Tampa, FL 33611",Tampa
33534,"4315 W Gandy Blvd, Tampa, FL 33611",Tampa
33510,"6001 N Nebraska Ave, Tampa, FL 33604",Tampa
33508,"555 Channelside Dr, Tampa, FL 33602",Tampa
33508,"1105 E Twiggs St, Tampa, FL 33602",Tampa
33508,"243 Bayshore Blvd, Tampa, FL 33606",Tampa
32109,"10928 Cross Creek Blvd, Tampa, FL 33647",Tampa
32109,"19034 Bruce B. Downs Blvd, Tampa, FL 33647",Tampa
32109,"16041 Tampa Palms Blvd W, Tampa, FL 33647",Tampa
32109,"4425 E Fletcher Ave, Tampa, FL 33613",Tampa
