zip_code,location,city
33403,"10130 Northlake Blvd, West Palm Beach, FL 33412",West Palm Beach
33401,"375 S Rosemary Ave, West Palm Beach, FL 33401",West Palm Beach
33401,"500 Belvedere Rd, West Palm Beach, FL 33405",West Palm Beach
33401,"831 Village Blvd, West Palm Beach, FL 33409",West Palm Beach
33401,"2895 N Military Trl, West Palm Beach, FL 33409",West Palm Beach
33401,"828 Southern Blvd, West Palm Beach, FL 33405",West Palm Beach
33401,"4075 N Haverhill Rd, West Palm Beach, FL 33417",West Palm Beach
33401,"926 S Military Trl, West Palm Beach, FL 33415",West Palm Beach
33401,"6820 Okeechobee Blvd, West Palm Beach, FL 33411",West Palm Beach
33401,"8989 Okeechobee Blvd, West Palm Beach, FL 33411",West Palm Beach
